Timestamp,Are you going actually going trick or treating yourself?,Your gender:,How old are you?,Which country do you live in?,"Which state, province, county do you live in?", [100 Grand Bar], [Bottle Caps], [Butterfinger], [Cadbury Creme Eggs], [Candy Corn]
10/24/2016 5:09:23,No,Male,22,Canada,Ontario,JOY,MEH,JOY,JOY,DESPAIR
10/24/2016 5:09:55,No,Male,45,usa,il,MEH,JOY,JOY,DESPAIR,DESPAIR
10/24/2016 5:13:07,No,Female,48,US,Colorado,JOY,JOY,JOY,MEH,MEH
10/24/2016 5:14:17,No,Male,57,usa,il,JOY,DESPAIR,JOY,JOY,JOY
10/24/2016 5:14:25,Yes,Male,42,USA,South Dakota,MEH,MEH,JOY,JOY,DESPAIR
10/24/2016 5:16:43,No,Male,41,USA,Georgia,JOY,JOY,JOY,JOY,MEH
10/24/2016 5:16:51,Yes,Male,47,usa,il,DESPAIR,MEH,JOY,JOY,DESPAIR
10/24/2016 5:16:55,No,Male,28,Canada,Ontario,MEH,DESPAIR,JOY,MEH,DESPAIR
10/24/2016 5:17:49,Yes,Male,44,USA,PA,MEH,MEH,MEH,JOY,DESPAIR
10/24/2016 5:18:51,No,Female,41,UK,,DESPAIR,MEH,DESPAIR,JOY,DESPAIR
10/24/2016 5:20:21,No,Other,34,United States of America,IN,JOY,MEH,JOY,MEH,MEH
10/24/2016 5:21:20,No,Female,46,USA,the Mitten,MEH,DESPAIR,MEH,MEH,DESPAIR
10/24/2016 5:21:28,No,Male,41,uSA,California,MEH,DESPAIR,JOY,JOY,DESPAIR
10/24/2016 5:22:13,Yes,Male,45,Japan,Tokyo,MEH,MEH,JOY,DESPAIR,JOY
10/24/2016 5:22:31,No,Male,40,united states,ca,MEH,JOY,JOY,MEH,MEH
10/24/2016 5:24:08,No,Female,31,USA ,Ny,MEH,JOY,JOY,JOY,JOY
10/24/2016 5:24:11,No,Female,33,USA,WA,JOY,DESPAIR,JOY,DESPAIR,DESPAIR
10/24/2016 5:26:18,No,Male,35,canada,Ontario,,MEH,JOY,JOY,DESPAIR
10/24/2016 5:26:35,Yes,Male,49,USA,NJ,MEH,MEH,JOY,DESPAIR,DESPAIR
10/24/2016 5:27:00,No,Male,44,united states,nh,MEH,JOY,MEH,DESPAIR,MEH
10/24/2016 5:30:40,No,Male,45,United States,Tennessee,JOY,JOY,JOY,MEH,JOY
10/24/2016 5:31:49,No,Male,34,canada,newfoundland,MEH,DESPAIR,JOY,DESPAIR,DESPAIR
10/24/2016 5:33:19,No,Male,48,United States,Maryland,MEH,JOY,JOY,DESPAIR,DESPAIR
10/24/2016 5:33:28,No,Female,16,United States,Pennsylvania ,MEH,MEH,JOY,JOY,
10/24/2016 5:34:36,No,Male,60,US,Delaware,,DESPAIR,MEH,JOY,MEH
10/24/2016 5:34:37,No,Male,30,us,ma,MEH,DESPAIR,JOY,JOY,MEH
10/24/2016 5:34:40,No,Female,51,USA,Michigan,MEH,MEH,MEH,MEH,DESPAIR
10/24/2016 5:35:46,No,I'd rather not say,31,United States,Florida,MEH,MEH,DESPAIR,DESPAIR,DESPAIR
10/24/2016 5:36:13,No,Male,51,USA,SC,MEH,DESPAIR,JOY,MEH,DESPAIR
10/24/2016 5:36:44,No,I'd rather not say,33,USA,MN,JOY,DESPAIR,JOY,MEH,DESPAIR
10/24/2016 5:36:57,No,Male,40,USA,Michigan,,,JOY,JOY,JOY
10/24/2016 5:37:19,Yes,Male,38,USA,TN,JOY,MEH,JOY,MEH,MEH
10/24/2016 5:37:49,No,Male,35,United States,NH,MEH,JOY,JOY,DESPAIR,MEH
10/24/2016 5:38:41,No,Male,54,US,NYC,JOY,MEH,JOY,DESPAIR,JOY
10/24/2016 5:39:58,No,Male,33,USA,Pennsylvania,MEH,JOY,JOY,MEH,JOY
10/24/2016 5:41:24,No,Female,33,United States,KY,MEH,JOY,JOY,JOY,JOY
10/24/2016 5:41:34,No,Male,43,USA,Tennessee,MEH,JOY,,MEH,DESPAIR
10/24/2016 5:42:42,No,Male,50,usa,NY,JOY,JOY,JOY,MEH,DESPAIR
10/24/2016 5:44:28,No,Male,48,United States of America,Tennessee,JOY,DESPAIR,MEH,MEH,DESPAIR
10/24/2016 5:45:29,No,Male,33,USA,MA,JOY,DESPAIR,JOY,JOY,DESPAIR
10/24/2016 5:45:54,Yes,Male,34,Canada,Newfoundland,MEH,DESPAIR,JOY,JOY,JOY
10/24/2016 5:45:58,No,Male,33,canada,ontario,JOY,MEH,JOY,JOY,JOY
10/24/2016 5:46:15,No,Female,37,United States,Minnesota,MEH,DESPAIR,JOY,JOY,MEH
10/24/2016 5:46:36,No,Male,35,france,,,MEH,JOY,MEH,MEH
10/24/2016 5:49:18,No,Male,33,USA,MA,MEH,DESPAIR,JOY,MEH,DESPAIR
10/24/2016 5:49:22,No,Male,48,USSA,Taxachusetts,,,,,
10/24/2016 5:49:52,No,Female,35,US,Ohio,JOY,MEH,JOY,JOY,DESPAIR
10/24/2016 5:50:03,No,Male,34,usa,pa,JOY,DESPAIR,JOY,JOY,JOY
10/24/2016 5:50:17,No,Male,40,United States,Massachusetts,JOY,MEH,JOY,JOY,MEH
10/24/2016 5:51:41,No,Male,55,United States of America ,Missouri ,MEH,MEH,JOY,JOY,MEH
10/24/2016 5:51:59,No,Male,54,usa,massachusetts,JOY,JOY,MEH,MEH,DESPAIR
10/24/2016 5:52:15,No,Male,58,Canada,Alberta,MEH,DESPAIR,MEH,MEH,MEH
10/24/2016 5:53:12,No,Male,43,USA,VA,JOY,MEH,MEH,JOY,JOY
10/24/2016 5:53:20,No,Female,32,United States,NM,MEH,DESPAIR,MEH,MEH,DESPAIR
10/24/2016 5:54:15,Yes,Male,32,USA,Pennsylvania,MEH,JOY,JOY,JOY,JOY
10/24/2016 5:54:15,Yes,Male,47,United States,Utah,JOY,JOY,JOY,MEH,MEH
10/24/2016 5:54:27,No,Male,42,U.S.A.,Maine,JOY,MEH,JOY,JOY,MEH
10/24/2016 5:54:40,No,Male,Old enough to know better ,A tropical island south of the equator,,MEH,JOY,MEH,MEH,MEH
10/24/2016 5:55:38,No,Male,49,USA,,DESPAIR,JOY,DESPAIR,JOY,JOY
10/24/2016 5:55:55,No,Male,32,USA,Connecticut,JOY,JOY,JOY,JOY,MEH
10/24/2016 5:56:11,No,I'd rather not say,35,UK,Surrey,DESPAIR,MEH,DESPAIR,DESPAIR,JOY
10/24/2016 5:57:28,No,Male,37,england,essex,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR
10/24/2016 5:58:03,Yes,Female,41,USA ,Utah,JOY,MEH,JOY,MEH,MEH
10/24/2016 5:58:10,No,Male,51,usa,,JOY,MEH,DESPAIR,DESPAIR,DESPAIR
10/24/2016 5:58:48,No,Male,64,usa,"tarrant county, texas",JOY,DESPAIR,MEH,JOY,DESPAIR
10/24/2016 5:59:37,No,Male,38,United States,WA,,JOY,JOY,JOY,JOY
10/24/2016 6:00:35,No,Male,38,Canada,Ontario,MEH,MEH,MEH,MEH,MEH
10/24/2016 6:01:41,Yes,Male,33,USA,IL,JOY,MEH,JOY,JOY,JOY
10/24/2016 6:02:14,No,Male,61,uk,Greater Manchester,MEH,DESPAIR,DESPAIR,JOY,MEH
10/24/2016 6:03:38,No,Male,35,usa,ia,JOY,MEH,JOY,JOY,DESPAIR
10/24/2016 6:05:28,No,Male,33,USA,Illinois,JOY,MEH,JOY,DESPAIR,MEH
10/24/2016 6:05:39,No,Male,65,usa,"NY,ONEIDA",MEH,DESPAIR,JOY,JOY,MEH
10/24/2016 6:06:10,No,Male,48,Canada,Nova Scotia,MEH,JOY,JOY,MEH,MEH
10/24/2016 6:07:43,No,Male,46,USA,"Oklahoma, Rogers County",JOY,MEH,JOY,DESPAIR,DESPAIR
10/24/2016 6:08:20,Yes,Male,43,USA,NC,JOY,MEH,JOY,MEH,MEH
10/24/2016 6:08:43,No,Male,33,USA,New York,MEH,JOY,JOY,JOY,MEH
10/24/2016 6:09:23,No,Male,48,usa,ga,JOY,JOY,MEH,DESPAIR,DESPAIR
10/24/2016 6:09:26,No,Male,33,USA,Ohio,MEH,DESPAIR,JOY,MEH,DESPAIR
10/24/2016 6:09:54,No,Female,35,Switzerland,,MEH,MEH,JOY,JOY,JOY
10/24/2016 6:09:58,No,Male,55,usa,California,MEH,MEH,JOY,MEH,DESPAIR
10/24/2016 6:10:03,No,Male,30,USA,Virginia,MEH,DESPAIR,JOY,JOY,JOY
10/24/2016 6:10:18,No,Female,26,USA,Tennessee,JOY,JOY,DESPAIR,JOY,JOY
10/24/2016 6:10:33,No,Female,46,USA,Ohio,MEH,MEH,MEH,MEH,MEH
10/24/2016 6:11:02,No,Female,55,Murica,NJ,MEH,DESPAIR,JOY,MEH,DESPAIR
10/24/2016 6:11:05,No,Male,36,United States,Oklahoma,MEH,DESPAIR,JOY,JOY,MEH
10/24/2016 6:11:16,No,Male,64,USA,NC,MEH,MEH,JOY,JOY,MEH
10/24/2016 6:13:42,No,Male,45,USA,Missouri,JOY,DESPAIR,MEH,JOY,MEH
10/24/2016 6:14:35,Yes,Male,41,United Kingdom,East Sussex,,,JOY,JOY,JOY
10/24/2016 6:14:50,No,Male,54,US,NC,JOY,DESPAIR,DESPAIR,MEH,DESPAIR
10/24/2016 6:15:22,Yes,I'd rather not say,78,Neverland,,,,,,
10/24/2016 6:15:54,Yes,Female,39,USA,Massachusetts,MEH,DESPAIR,MEH,JOY,MEH
10/24/2016 6:17:16,No,Male,34,USA,California,JOY,MEH,JOY,JOY,DESPAIR
10/24/2016 6:17:57,No,Male,52,US,IL,JOY,MEH,DESPAIR,DESPAIR,MEH
10/24/2016 6:18:00,Yes,Male,41,USA!,New York,MEH,DESPAIR,DESPAIR,JOY,JOY
10/24/2016 6:19:21,No,Male,29,USA,TX,JOY,MEH,JOY,DESPAIR,DESPAIR
10/24/2016 6:20:09,No,Male,63,US,PA,MEH,DESPAIR,DESPAIR,JOY,DESPAIR
10/24/2016 6:20:09,No,Male,49,USA,KY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR
10/24/2016 6:20:37,No,Male,50,USA,Illinois ,MEH,JOY,MEH,JOY,JOY
10/24/2016 6:20:41,No,Male,43,U.S.A.,VT,JOY,DESPAIR,MEH,MEH,MEH